DATE,AMOUNT,DESCRIPTION,CATEGORY,CATEGORY GROUP,ACCOUNT,TO ACCOUNT,PROJECT,NOTES
"2022-12-19",-1,"NYA*McLaren Vending Lt Aberystwyth GBR 05295312352213260090712","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-19",-34.99,"AMZNMktplace amazon.co.uk","June","Gifts and giving","489396XXXXXX2001","N/A","N/A",""
"2022-12-19",-1,"NYA*McLaren Vending Lt Aberystwyth GBR 05295312352213260120543","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-19",-1,"NYA*McLaren Vending Lt Aberystwyth GBR 05295312352213260161349","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-19",-1,"NYA*McLaren Vending Lt Aberystwyth GBR 05295312352213260051730","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-19",-55,"CARRIGANS HAMILTON LTD HAMILTON 85481472352468707848530","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-19",-1.8,"NYA*McLaren Vending Lt Motherwell GBR 05295312351213176908776","Groceries","Shopping","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-19",-5,"SQ *BRAEHEAD ARENA Glasgow 02708962351344548801033","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-19",-6.5,"SQ *CLAN ENTERTAINMENT Glasgow 02708962351344548791648","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-19",-4.05,"SAINSBURYS S/MKTS HAMILTON 85481472351468287368116","Groceries","Shopping","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-19",-9.5,"Zettle_*PIZZA DADDY SC Hamilton GBR 25481042351058116179342","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-19",-5.6,"MARTIN MCCOLL HAMILTON GBR 05130862351910063966931","Groceries","Shopping","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-16",3603.77,"LLOYDS BANK PLC 80038189","Salary","Income","Mr Alistair MacNair","N/A","N/A",""
"2022-12-16",-47.9,"AMZNMktplace amazon.co.uk","June","Gifts and giving","489396XXXXXX2001","N/A","N/A",""
"2022-12-16",-1,"NYA*McLaren Vending Lt Motherwell GBR 05295312349213056583470","Hobbies","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-16",-1.8,"NYA*McLaren Vending Lt Motherwell GBR 05295312349213056432124","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-16",-10,"RINGGO PARKING MAIDSTONE 55504432349083192196356","Travel","Transport","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-16",-9.48,"PETS AT HOME LTD HAMILTON 55541962350059020173574","Pets","Household","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-16",-140,"Jomalone.co.uk London GBR 15265672349012174690130","June","Gifts and giving","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-14",-8.02,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",""
"2022-12-14",-6.99,"Amazon.co.uk*1Z8PM6V54 AMAZON.CO.UK","General merchandise","Shopping","489396XXXXXX2001","N/A","N/A",""
"2022-12-14",-6.99,"AMZNMktplace amazon.co.uk","General merchandise","Shopping","489396XXXXXX2001","N/A","N/A",""
"2022-12-13",1000,"PAYMENT RECEIVED - THANK YOU 020707043605369656GBP","Credit card payments","Transfers","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-13",-1000,"Payment to SAINSBURYS CLASSIC","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-12-13",-12.1,"STAGECOACH SERVICE STOCKPORT GBR 05272462347910001208747","Travel","Transport","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-12",-440,"SP LORRAINE LAW LTD DUNDEE","June","Gifts and giving","489396XXXXXX2001","N/A","N/A",""
"2022-12-12",-90.85,"TM *TICKETMASTERUK LONDON GBR 15122622346001903438284","June","Gifts and giving","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-12",-65.4,"TESCO STORES 3008 PERTH 3 GBR 05130862346910015868522","Groceries","Shopping","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-12",-5,"SQ *BRAEHEAD ARENA Glasgow 02708962344344524581617","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-12",-5,"CLINTONS 1205 GLASGOW GBR 05130862344910071720759","June","Gifts and giving","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-12",-5,"SQ *BRAEHEAD ARENA Glasgow 02708962343344518936752","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-12",-8,"SQ *CLAN ENTERTAINMENT Glasgow 02708962344344524700522","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-12",-83.27,"TESCO PFS 3796 PERTH 3 GBR 05130862344910044820538","Fuel","Transport","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-12",-18.95,"LACHLAN BALLOCH GBR 55184222343593433070663","June","Gifts and giving","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-12",-6.5,"SQ *CLAN ENTERTAINMENT Glasgow 02708962343344518901772","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-12",-214.04,"VIAGOGO EVENT TICKETS +447720680451 CHE 15265672343002613189766","June","Gifts and giving","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-12",-42.48,"INTEREST CHARGED","Service fees & bank charges","Bills and utilities","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-09",-189.64,"HOLIDAY INN EXPRESS ST LANARKSHIRE GBR 15122622343001600920223","Holidays","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-09",-6.94,"FUNKY PIGEON BRISTOL GBR 15122622343000199101583","June","Gifts and giving","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-08",-17.3,"TESCO STORES 2340 EDINBURGH 3 GBR 05130862342910012084796","June","Gifts and giving","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-08",-1.35,"GATHER AND GATHER ED'BURGH EH3 55541962342062040101758","Work expenses","Income","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-08",-25,"Bar Italia Edinburgh GBR 72702822341008614153136","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-07",-5.55,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",""
"2022-12-07",65.28,"DIRECT DEBIT RECEIVED, THANK YOU 0512687233600000000293","Credit card payments","Transfers","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-07",-65.28,"Direct debit SAINSBURYS BANK PL 400250 41418467","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-12-06",-19.99,"GOOGLE *YouTubePremium 650-253-0000 GBR 55204722339207574044509","Online services","Bills and utilities","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-06",-14.5,"Payment to DIRECT SHINE","Home maintenance","Household","070436 XXXX9656","N/A","N/A",""
"2022-12-05",-15,"GUILDFORD FLAMES GUILDFORD LND 85383902338000010534640","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-05",-23.85,"Direct debit LV PET 300002 00128223","Tanski","Gifts and giving","070436 XXXX9656","N/A","N/A",""
"2022-12-05",-24.35,"Direct debit AIG LIFE LTD 400250 81392549","Household insurance","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-12-05",-27.9,"Direct debit OCTOPUS ENERGY 400328 43807509","Utilities","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-12-05",-113.1,"Direct debit V12 RETAIL FINANCE 010531 46287787","Loans","Repayments","070436 XXXX9656","N/A","N/A",""
"2022-12-05",-147.29,"Direct debit BT GROUP PLC 200000 10596159","TV & internet","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-12-03",-25,"Standing order MORTGAGE 070094 44444445","Mortgages","Repayments","070436 XXXX9656","N/A","N/A",""
"2022-12-03",-1267.78,"To mortgage a/c A MACNAIR 72663742203","Mortgages","Repayments","070436 XXXX9656","N/A","N/A",""
"2022-12-02",-25,"Marini's PERTH GBR 05371342335200577088642","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-01",-236,"Standing order PERTH & KINROSS CO 834700 11570174","Council Tax","Household","070436 XXXX9656","N/A","N/A",""
"2022-12-01",-13.98,"eBay O*01-09412-83553 London GBR 15265672334011286748726","June","Gifts and giving","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-01",-289.85,"Direct debit RCIFINSERV-OMEGA 601732 10616098","Car Loan","Transport","070436 XXXX9656","N/A","N/A",""
"2022-11-30",-29,"SKY TV LIVINGSTON","TV & internet","Bills and utilities","489396XXXXXX2001","N/A","N/A",""
"2022-11-30",-8.02,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",""
"2022-11-30",-13,"Monthly Account Fee","Service fees & bank charges","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-11-28",-39.5,"WWW.FIFEFLYERS.CO.UK ROSSLYN ST., FIF 85383902331000012016239","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-28",-38.72,"AMZNMktplace amazon.co.uk","General merchandise","Shopping","489396XXXXXX2001","N/A","N/A",""
"2022-11-28",-22,"Direct debit EE LIMITED 400250 41254987","Telephone & mobile","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-11-28",-23.24,"CURRYS DUNDEE DUNDEE GBR 05130862331910092078778","Electronics","Household","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-28",-19.99,"Amazon.co.uk*1I8AM2534 AMAZON.CO.UK","General merchandise","Shopping","489396XXXXXX2001","N/A","N/A",""
"2022-11-28",-2.8,"ASDA STORES 4370 DUNDEE GBR 05130862331910089445733","Groceries","Shopping","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-28",-15,"WWW.DUNDEESTARS.COM EDINBURGH LND 85383902330000014685024","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-28",-23,"DUNDEESTARS.COM EDINBURGH ANG 85383902330000012291452","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-28",-92.41,"SAINSBURYS BRAEHEAD 85481472330461878872964","Fuel","Transport","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-28",-5.5,"SQ *CLAN ENTERTAINMENT Glasgow 02708962329344463548386","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-24",-52.79,"Direct debit PAYPAL PAYMENT 609242 40317401","Online services","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-11-23",-5.55,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",""
"2022-11-22",790,"PAYMENT RECEIVED - THANK YOU 020707043605369656GBP","Credit card payments","Transfers","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-22",25.3,"PAYMENT RECEIVED -- THANK YOU","Credit card payments","Transfers","489396XXXXXX2001","N/A","N/A",""
"2022-11-22",3500,"Transfer from A MACNAIR 804735 11002165","Transfers","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-11-22",-3500,"MY NATIONWIDE","Transfers","Transfers","Mr Alistair MacNair","N/A","N/A",""
"2022-11-22",-790,"Payment to SAINSBURYS CLASSIC","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-11-22",-178,"ALISTAIR MACNAIR 100000001031992877","Salary","Income","Mr Alistair MacNair","N/A","N/A",""
"2022-11-22",178,"Bank credit A MacNair 804735 11002165","Transfers","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-11-22",-25.3,"Payment to SELECT CREDIT CARD","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-11-21",-15,"MANCHESTER STORM DEWSBURY LND 85383902324000009976089","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-21",-19.9,"Expedia London GBR 15265672324003439590131","June","Gifts and giving","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-21",-9.77,"WM MORRISONS STORE PERTH 85481472324460205469534","Groceries","Shopping","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-21",-5,"SQ *BRAEHEAD ARENA Glasgow 02708962323344445134301","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-21",-6.5,"SQ *CLAN ENTERTAINMENT Glasgow 02708962323344445072691","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-21",-8.06,"ASDA SUPERSTORE 04923 HAMILTON GBR 05130862323910073956513","Groceries","Shopping","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-18",3677.98,"LLOYDS BANK PLC 80032288","Salary","Income","Mr Alistair MacNair","N/A","N/A",""
"2022-11-16",-8.02,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",""
"2022-11-15",-125,"RADLEY+CO LIMITED LONDON GBR 15265672318488524064944","June","Gifts and giving","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-14",-25.3,"AMZNMktplace amazon.co.uk","General merchandise","Shopping","489396XXXXXX2001","N/A","N/A",""
"2022-11-14",-29.35,"Time2Dine Glasgow, Cumb 75189002316000186396107","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-14",-15,"SHEFFIELD STEELERS TV SHEFFIELD LND 85383902316000012173377","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-14",-15,"CLAN ENTERTAINMENT LTD GLASGOW LND 85383902315000012743097","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-14",-78.41,"TESCO PFS 3796 PERTH 3 GBR 05130862316910024006045","Fuel","Transport","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-14",-9.19,"SUBWAY @ MFG BROXDEN PERTH GBR 05272462316910011236495","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-11",-40.01,"INTEREST CHARGED","Service fees & bank charges","Bills and utilities","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-10",-22.2,"Marini's PERTH GBR 05371342313192912622019","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-10",12.76,"Expedia London GBR 15265672313006989160133","Travel","Transport","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-09",-5.55,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",""
"2022-11-09",-1.7,"RINGGO ECOMMERCE PERTH GBR 05272472313910025098404","Travel","Transport","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-07",-51.73,"Direct debit SAINSBURYS BANK PL 400250 41418467","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-11-07",51.73,"DIRECT DEBIT RECEIVED, THANK YOU 0512687230600000000607","Credit card payments","Transfers","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-07",-113.1,"Direct debit V12 RETAIL FINANCE 010531 46287787","Loans","Repayments","070436 XXXX9656","N/A","N/A",""
"2022-11-07",-15,"CLEANCUTSPORTS COVENTRY LND 85383902310000009575416","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-07",-14.5,"Payment to DIRECT SHINE","Home maintenance","Household","070436 XXXX9656","N/A","N/A",""
"2022-11-07",-94.99,"lookfantastic Manchester 05184892309078790184346","June","Gifts and giving","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-07",-17.99,"GOOGLE *YouTubePremium 650-253-0000 GBR 55204722309208860988967","Online services","Bills and utilities","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-07",-3.8,"Blue Lagoon Glasgow GBR 72702822309007681346409","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-07",-10,"SQ *BRAEHEAD ARENA Glasgow 02708962308344403066635","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-07",-6.5,"SQ *CLAN ENTERTAINMENT Glasgow 02708962308344403030995","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-04",262,"Bank credit A MacNair 804735 11002165","Transfers","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-11-04",43.52,"PAYMENT RECEIVED -- THANK YOU","Credit card payments","Transfers","489396XXXXXX2001","N/A","N/A",""
"2022-11-04",220,"PAYMENT RECEIVED - THANK YOU 020707043605369656GBP","Credit card payments","Transfers","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-04",-43.52,"Payment to SELECT CREDIT CARD","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-11-04",-262,"ALISTAIR MACNAIR 200000001022270177","Salary","Income","Mr Alistair MacNair","N/A","N/A",""
"2022-11-04",-12,"SOAPERSTARS DIRECT LIM Perth GBR 82308162307243750660418","Car running costs","Transport","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-04",-220,"Payment to SAINSBURYS CLASSIC","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-11-04",-70,"GULNAR TANDOORI Glasgow 75189002307000202480142","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-03",-25,"Standing order MORTGAGE 070094 44444445","Mortgages","Repayments","070436 XXXX9656","N/A","N/A",""
"2022-11-03",-1.7,"PERTH & KINROSS COUNCI PERTH GBR 05272472307910026047010","Travel","Transport","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-03",-1202.22,"To mortgage a/c A MACNAIR 72663742203","Mortgages","Repayments","070436 XXXX9656","N/A","N/A",""
"2022-11-03",-23.85,"Direct debit LV PET 300002 00128223","Tanski","Gifts and giving","070436 XXXX9656","N/A","N/A",""
"2022-11-03",-24.35,"Direct debit AIG LIFE LTD 400250 81392549","Household insurance","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-11-03",-27.9,"Direct debit OCTOPUS ENERGY 400328 43807509","Utilities","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-11-03",-147.29,"Direct debit BT GROUP PLC 200000 10596159","TV & internet","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-11-02",-8.54,"AMZNMktplace amazon.co.uk","General merchandise","Shopping","489396XXXXXX2001","N/A","N/A",""
"2022-11-02",-220.95,"MOTORPOINT ARENA NOTTINGHAM 85481472306454775191851","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-02",-8.02,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",""
"2022-11-02",-71.53,"SAINSBURYS PETROL BLACKHALL 85481472306454845506633","Fuel","Transport","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-02",-8.6,"PHILPOTTS EDINBURGH EDINBURGH 85481472306454820546224","Work expenses","Income","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-02",-14,"3C_*Britannia Parking Edinburgh GBR 85125692305243191298358","Work expenses","Income","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-02",-22.98,"PETS AT HOME LTD CRAIGLEITH 55541962306059050184231","Tanski","Gifts and giving","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-11-01",-5.98,"AMZNMktplace amazon.co.uk","General merchandise","Shopping","489396XXXXXX2001","N/A","N/A",""
"2022-11-01",-236,"Standing order PERTH & KINROSS CO 834700 11570174","Council Tax","Household","070436 XXXX9656","N/A","N/A",""
"2022-11-01",-289.85,"Direct debit RCIFINSERV-OMEGA 601732 10616098","Car Loan","Transport","070436 XXXX9656","N/A","N/A",""
"2022-10-31",-29,"SKY TV LIVINGSTON","TV & internet","Bills and utilities","489396XXXXXX2001","N/A","N/A",""
"2022-10-31",-15,"BELFAST GIANTS BELFAST LND 85383902303000008064445","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-10-31",-13,"Monthly Account Fee","Service fees & bank charges","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-10-31",262.5,"MOBILE CHEQUE","Taxes","Taxes","Mr Alistair MacNair","N/A","N/A",""
"2022-10-31",-10.1,"CLINTONS 1205 GLASGOW GBR 05130862303910045760971","June","Gifts and giving","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-10-31",-2.31,"SPAR STANLEY GBR 05272462303910025187622","Groceries","Shopping","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-10-31",-2.5,"SQ *CLAN ENTERTAINMENT Glasgow 02708962302344385618391","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-10-29",-40,"ATM Withdrawal NOTEMACHINE LTD","Ice Hockey","Shopping","070436 XXXX9656","N/A","N/A",""
"2022-10-28",-41.98,"Direct debit EE LIMITED 400250 41254987","Telephone & mobile","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-10-26",-39.95,"SKY TV LIVINGSTON","TV & internet","Bills and utilities","489396XXXXXX2001","N/A","N/A",""
"2022-10-26",-5.55,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",""
"2022-10-26",-16.8,"Direct debit PAYPAL PAYMENT 609242 40317401","Online services","Bills and utilities","070436 XXXX9656","N/A","N/A",""
"2022-10-24",39.95,"PAYMENT RECEIVED -- THANK YOU","Credit card payments","Transfers","489396XXXXXX2001","N/A","N/A",""
"2022-10-24",-3500,"MY NATIONWIDE","Transfers","Transfers","Mr Alistair MacNair","N/A","N/A",""
"2022-10-24",3500,"Transfer from A MACNAIR 804735 11002165","Transfers","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-10-24",655.7,"PAYMENT RECEIVED -- THANK YOU","Credit card payments","Transfers","489396XXXXXX2001","N/A","N/A",""
"2022-10-24",100,"PAYMENT RECEIVED - THANK YOU 020707043605369656GBP","Credit card payments","Transfers","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-10-24",-655.7,"Payment to SELECT CREDIT CARD","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-10-24",-15,"CLEANCUTSPORTS COVENTRY LND 85383902296000008009027","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-10-24",-100,"Payment to SAINSBURYS CLASSIC","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-10-24",-90.92,"W M MORRISON PETRO PERTH 85481472296451894124922","Fuel","Transport","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-10-24",-39.95,"Payment to SELECT CREDIT CARD","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-10-24",-3.5,"SQ *CLAN ENTERTAINMENT Glasgow 02708962295344362607325","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-10-21",-42,"ALISTAIR MACNAIR 600000001017504101","Ice Hockey","Entertainment","Mr Alistair MacNair","N/A","N/A",""
"2022-10-21",42,"Bank credit A MacNair 804735 11002165","Transfers","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-10-21",-42,"Payment to ALISTAIR MACNAIR","Transfers","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-10-20",-70,"SQ Glasgow Clan Offic","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A","Winter Ball "
"2022-10-20",3541.8,"LLOYDS BANK PLC 80049975","Salary","Income","Mr Alistair MacNair","N/A","N/A",""
"2022-10-20",-7.6,"SQ *CLAN ENTERTAINMENT Glasgow 02708962292344351925905","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-10-20",-6,"SQ *CLAN ENTERTAINMENT Glasgow 02708962292344351917381","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-10-19",-4.69,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",""
"2022-10-19",-16.3,"Marini's PERTH GBR 05371342291185316874513","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-10-18",-12.76,"Expedia London GBR 15265672290304124350132","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-10-17",-88.95,"Amazon.co.uk*FD3GH2FB5 AMAZON.CO.UK","General merchandise","Shopping","489396XXXXXX2001","N/A","N/A",""
"2022-10-17",-77.03,"W M MORRISON PETRO PERTH 85481472289449939267036","Fuel","Transport","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-10-17",-9,"SQ *CLAN ENTERTAINMENT Glasgow 02708962288344341673603","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-10-14",-16.99,"AMZNMktplace amazon.co.uk","General merchandise","Shopping","489396XXXXXX2001","N/A","N/A",""
"2022-10-12",-32.26,"INTEREST CHARGED","Service fees & bank charges","Bills and utilities","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-10-11",-14.5,"Payment to DIRECT SHINE","Home maintenance","Household","070436 XXXX9656","N/A","N/A",""
"2022-10-11",-11.7,"75187382283900019274040","Holidays","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A","Vegas"
"2022-10-11",-425.46,"Sahara Hotel Oper LAS Vegas NV","Holidays","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A","Vegas"
"2022-10-07",-31.84,"Direct debit SAINSBURYS BANK PL 400250 41418467","Credit card payments","Transfers","070436 XXXX9656","N/A","N/A",""
"2022-10-07",31.84,"DIRECT DEBIT RECEIVED, THANK YOU 0512687227700000000307","Credit card payments","Transfers","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-10-06",-1.14,"75187382278900019016745","Holidays","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A","Vegas"
"2022-10-06",-41.62,"3750 SAHARA AZILO POOL LAS VEGAS NV 75187382278900019016745","Holidays","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A","Vegad"
"2022-10-06",-17.99,"GOOGLE *YouTubePremium 650-253-0000 GBR 55204722278200155350364","Online services","Bills and utilities","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-10-05",100,"PAYMENT RECEIVED -- THANK YOU","Credit card payments","Transfers","489396XXXXXX2001","N/A","N/A",""
"2022-10-05",-3.15,"Direct debit MCQUEENS DAIRIES 832628 00720838","Groceries","Shopping","070436 XXXX9656","N/A","N/A",""
"2022-10-05",100,"PAYMENT RECEIVED - THANK YOU 020707043605369656GBP","Credit card payments","Transfers","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-10-05",-113.1,"Direct debit V12 RETAIL FINANCE 010531 46287787","Loans","Repayments","070436 XXXX9656","N/A","N/A",""
"2022-10-05",-0.29,"15449852278002300219765","Holidays","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A","Vegad"
"2022-10-05",-200,"Payment to ALISTAIR MACNAIR","Holidays","Entertainment","070436 XXXX9656","N/A","N/A","Vegas"
