Trans_Date,Category,Sub_Category,Trans_Description,Trans_Amount,Year,Month_Number,Day_Number
2016-01-05,Transfer (Outward),Transfer to PayPal,Transfer to PayPal,-9.99,2016,1,5
2016-01-06,Bank:Interest,Credit Card Interest,Credit Card Interest,-3.74,2016,1,6
2016-01-06,June Monthly Allowance,June,June,-100.0,2016,1,6
2016-01-06,June Monthly Allowance,June,June,-400.0,2016,1,6
2016-01-07,Shopping,Shopping Asda,Shopping Asda,-12.85,2016,1,7
2016-01-07,Household:Phone &  Broadband,BT,BT,-79.36,2016,1,7
2016-01-07,Household:Council Tax,South Lanarkshire Council,South Lanarkshire Council,-262.0,2016,1,7
2016-01-09,Sports & Recreation:Football,Football,Football,-21.0,2016,1,9
2016-01-09,Food:Take Away,Take Away,Take Away,-16.5,2016,1,9
2016-01-09,Shopping,Shopping,Shopping,-5.16,2016,1,9
2016-01-09,Transfer (Outward),Transfer to Cash,Transfer to Cash,-50.0,2016,1,9
2016-01-09,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,50.0,2016,1,9
2016-01-10,Sports & Recreation:Ice Hockey,Ticketmaster - Ice Hockey,Ticketmaster - Ice Hockey,-40.0,2016,1,10
2016-01-11,Travel:Bus,Bus,Bus,-2.0,2016,1,11
2016-01-11,Travel:Train,Train To Edinburgh,Train To Edinburgh,-17.0,2016,1,11
2016-01-11,Food:Lunch,Lunch At Work,Lunch At Work,-4.4,2016,1,11
2016-01-11,Investment,ADVFN,ADVFN,-8.06,2016,1,11
2016-01-12,Mobile:Mobile Phone Bills,Vodafone,Vodafone,-30.74,2016,1,12
2016-01-12,Gifts:June,Tattoo For June,Tattoo For June,-10.0,2016,1,12
2016-01-12,Computer,Fast Hosts,Fast Hosts,-22.79,2016,1,12
2016-01-13,Travel:Train,Train To Edinburgh,Train To Edinburgh,-17.0,2016,1,13
2016-01-13,Food:Lunch,Lunch At Work,Lunch At Work,-5.45,2016,1,13
2016-01-13,Travel:Bus,Bus,Bus,-2.0,2016,1,13
2016-01-14,Transfer (Outward),Transfer to PayPal,Transfer to PayPal,-22.79,2016,1,14
2016-01-14,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,22.79,2016,1,14
2016-01-14,Travel:Fuel,Sainsbury Petrol,Sainsbury Petrol,-34.6,2016,1,14
2016-01-14,Food:Lunch,Lunch At Work,Lunch At Work,-3.85,2016,1,14
2016-01-14,Travel:Bus,Bus,Bus,-3.0,2016,1,14
2016-01-15,Travel:Bus,Bus,Bus,-3.0,2016,1,15
2016-01-15,Food:Lunch,Lunch At Work,Lunch At Work,-9.2,2016,1,15
2016-01-16,Transfer (Outward),Transfer to Cash,Transfer to Cash,-80.0,2016,1,16
2016-01-16,Food:Take Away,Take Away,Take Away,-24.8,2016,1,16
2016-01-16,Sports & Recreation:Football,Queen's Park V Montrose,Queen's Park V Montrose,-14.0,2016,1,16
2016-01-16,Food:Take Away,Take Away,Take Away,-4.0,2016,1,16
2016-01-16,Food:Lunch,Lunch,Lunch,-6.86,2016,1,16
2016-01-16,Sports & Recreation:Ice Hockey,Ice Hockey,Ice Hockey,-26.1,2016,1,16
2016-01-16,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,80.0,2016,1,16
2016-01-18,Insurance,Credit Expert,Credit Expert,-14.99,2016,1,18
2016-01-18,Shopping,Shopping Asda,Shopping Asda,-4.8,2016,1,18
2016-01-19,Transfer (Outward),Transfer to Cash,Transfer to Cash,-200.0,2016,1,19
2016-01-19,Others,Sainsbury Shopping,Sainsbury Shopping,-32.55,2016,1,19
2016-01-19,Insurance:Life Insurance,L&G,L&G,-16.84,2016,1,19
2016-01-19,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,200.0,2016,1,19
2016-01-19,Food:Lunch,Lunch,Lunch,-12.97,2016,1,19
2016-01-19,Gifts:June,Tattoo For June,Tattoo For June,-130.0,2016,1,19
2016-01-20,Income,Salary,Salary,3260.16,2016,1,20
2016-01-20,Travel:Fuel,Sainsburys Petrol,Sainsburys Petrol,-38.1,2016,1,20
2016-01-20,Transfer (Inward),Transfer from Hargreaves Landsdown,Transfer from Hargreaves Landsdown,24.26,2016,1,20
2016-01-20,Travel:Bus,Bus,Bus,-3.0,2016,1,20
2016-01-20,Food:Lunch,Lunch At Work,Lunch At Work,-2.25,2016,1,20
2016-01-21,Bank:Bank Charges,Bank Charges - Paid For June,Bank Charges - Paid For June,-4.0,2016,1,21
2016-01-21,Food:Lunch,Lunch At Work,Lunch At Work,-4.9,2016,1,21
2016-01-21,Travel:Bus,Bus,Bus,-3.0,2016,1,21
2016-01-22,Restaurant,Mushtaqs,Mushtaqs,-59.66,2016,1,22
2016-01-22,Food:Lunch,Lunch At Work,Lunch At Work,-6.25,2016,1,22
2016-01-22,Travel:Bus,Bus,Bus,-3.0,2016,1,22
2016-01-23,Food:Take Away,Take Away,Take Away,-19.2,2016,1,23
2016-01-23,Sports & Recreation:Football,Football Darvel V Troon,Football Darvel V Troon,-17.0,2016,1,23
2016-01-23,Shopping,Shopping,Shopping,-15.56,2016,1,23
2016-01-25,Transfer (Outward),Transfer to Cash,Transfer to Cash,-50.0,2016,1,25
2016-01-25,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,50.0,2016,1,25
2016-01-25,Travel:Bus,Bus,Bus,-3.0,2016,1,25
2016-01-25,Food:Lunch,Lunch At Work,Lunch At Work,-1.45,2016,1,25
2016-01-27,Travel:Fuel,Sainsbury Petrol,Sainsbury Petrol,-38.64,2016,1,27
2016-01-27,Travel:Bus,Bus,Bus,-3.0,2016,1,27
2016-01-27,Food:Lunch,Lunch At Work,Lunch At Work,-3.05,2016,1,27
2016-01-27,Shopping,Shipping Asda,Shipping Asda,-4.0,2016,1,27
2016-01-28,Transfer (Outward),Transfer to Nationwide,Transfer to Nationwide,-2000.0,2016,1,28
2016-01-28,Transfer (Inward),Transfer from BoS Current Account,Transfer from BoS Current Account,2000.0,2016,1,28
2016-01-28,Shopping,Shipping Asda,Shipping Asda,-4.0,2016,1,28
2016-01-28,Transfer (Outward),Transfer to Smile Current Account,Transfer to Smile Current Account,-1100.0,2016,1,28
2016-01-28,Travel:Bus,Bus,Bus,-2.0,2016,1,28
2016-01-28,Transfer (Outward),Transfer to Smile Current Account,Transfer to Smile Current Account,-150.0,2016,1,28
2016-01-28,Food:Lunch,Lunch At Work,Lunch At Work,-14.8,2016,1,28
2016-01-28,Transfer (Inward),Transfer from BoS Current Account,Transfer from BoS Current Account,1100.0,2016,1,28
2016-01-28,Transfer (Inward),Transfer from BoS Current Account,Transfer from BoS Current Account,150.0,2016,1,28
2016-01-29,Travel:Train,Train To Edinburgh,Train To Edinburgh,-17.0,2016,1,29
2016-01-29,Food:Lunch,Lunch At Work,Lunch At Work,-3.3,2016,1,29
2016-01-30,Food:Take Away,Take Away,Take Away,-33.3,2016,1,30
2016-01-30,Shopping,Milk,Milk,-1.78,2016,1,30
2016-01-30,Transfer (Outward),Transfer to Cash,Transfer to Cash,-100.0,2016,1,30
2016-01-30,Sports & Recreation:Football,Football,Football,-15.6,2016,1,30
2016-01-30,Bank:Bank Charges,Nationwide Subscription,Nationwide Subscription,-10.0,2016,1,30
2016-01-30,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,100.0,2016,1,30
2016-01-30,Mobile:Mobile Phone Bills,EE,EE,-67.97,2016,1,30
2016-01-30,Shopping,Dry Cleaners,Dry Cleaners,-12.5,2016,1,30
2016-01-31,Gifts:Liam,Spotify,Spotify,-9.99,2016,1,31
2016-01-31,Bank:Bank Charges,Bank Interest,Bank Interest,1.48,2016,1,31
2016-01-31,Shopping,Shopping Asda,Shopping Asda,-9.49,2016,1,31
2016-02-01,Transfer (Inward),Transfer from Smile Current Account,Transfer from Smile Current Account,255.31,2016,2,1
2016-02-01,Transfer (Outward),Transfer to RBS Credit Card,Transfer to RBS Credit Card,-950.0,2016,2,1
2016-02-01,Travel:Fuel,Sainsbury Petrol,Sainsbury Petrol,-38.08,2016,2,1
2016-02-01,Travel:Bus,Bus,Bus,-3.0,2016,2,1
2016-02-01,Transfer (Outward),Transfer to RBS Credit Card,Transfer to RBS Credit Card,-25.38,2016,2,1
2016-02-01,Household:Mortgage,Mortgage Express,Mortgage Express,-813.76,2016,2,1
2016-02-01,Food:Lunch,Lunch At Work,Lunch At Work,-3.6,2016,2,1
2016-02-01,Transfer (Outward),Transfer to Sainsburys Credit Card,Transfer to Sainsburys Credit Card,-255.31,2016,2,1
2016-02-01,Car:Car Loan,RCI,RCI,-285.55,2016,2,1
2016-02-01,Household:TV,TV Licence,TV Licence,-12.12,2016,2,1
2016-02-01,Transfer (Inward),Transfer from Smile Current Account,Transfer from Smile Current Account,25.38,2016,2,1
2016-02-01,Household:Maintenance,Scottish Gas,Scottish Gas,-16.08,2016,2,1
2016-02-01,Transfer (Inward),Transfer from Smile Current Account,Transfer from Smile Current Account,950.0,2016,2,1
2016-02-01,Bank:Bank Charges,Bank Interest,Bank Interest,1.78,2016,2,1
2016-02-02,Others,Sainsbury Shopping,Sainsbury Shopping,-5.0,2016,2,2
2016-02-02,Car,Parking,Parking,-1.9,2016,2,2
2016-02-03,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,9.99,2016,2,3
2016-02-03,Food:Lunch,Lunch At Work,Lunch At Work,-4.5,2016,2,3
2016-02-03,Shopping,Dunelm,Dunelm,-25.98,2016,2,3
2016-02-03,Travel:Bus,Bus,Bus,-3.0,2016,2,3
2016-02-03,Transfer (Outward),Transfer to PayPal,Transfer to PayPal,-9.99,2016,2,3
2016-02-03,Household:Phone &  Broadband,BT,BT,-79.17,2016,2,3
2016-02-04,Food:Lunch,Lunch At Work,Lunch At Work,-5.45,2016,2,4
2016-02-04,Gifts:Liam,Liam,Liam,-20.0,2016,2,4
2016-02-05,Bank:Interest,Credit Card Interest,Credit Card Interest,-30.85,2016,2,5
2016-02-05,Travel:Bus,Bus,Bus,-3.0,2016,2,5
2016-02-05,Food:Lunch,Lunch At Work,Lunch At Work,-2.45,2016,2,5
2016-02-06,Shopping,Shopping,Shopping,-3.95,2016,2,6
2016-02-06,Sports & Recreation:Football,Football,Football,-6.3,2016,2,6
2016-02-08,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,5.0,2016,2,8
2016-02-08,Food:Lunch,Lunch At Work,Lunch At Work,-2.25,2016,2,8
2016-02-08,Food:Take Away,KFC,KFC,-14.46,2016,2,8
2016-02-08,Shopping,Shopping Asda,Shopping Asda,-6.0,2016,2,8
2016-02-08,Transfer (Outward),Transfer to Sainsburys Credit Card,Transfer to Sainsburys Credit Card,-5.0,2016,2,8
2016-02-08,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,50.0,2016,2,8
2016-02-08,Transfer (Outward),Transfer to Cash,Transfer to Cash,-50.0,2016,2,8
2016-02-08,Travel:Bus,Bus,Bus,-3.0,2016,2,8
2016-02-08,Travel:Fuel,Sainsbury Petrol,Sainsbury Petrol,-39.31,2016,2,8
2016-02-10,Travel:Bus,Bus,Bus,-3.0,2016,2,10
2016-02-10,Household:Phone &  Broadband,1 And 1,1 And 1,-53.52,2016,2,10
2016-02-10,Food:Lunch,Lunch At Work,Lunch At Work,-6.3,2016,2,10
2016-02-11,Investment,ADVFN,ADVFN,-8.06,2016,2,11
2016-02-11,Gifts:June,Ownster,Ownster,-4.99,2016,2,11
2016-02-11,Food:Lunch,Lunch,Lunch,-3.6,2016,2,11
2016-02-11,Shopping,Shopping,Shopping,-7.95,2016,2,11
2016-02-11,Food,Restaurants,Restaurants,-5.0,2016,2,11
2016-02-11,Charity,Charity,Charity,-2.0,2016,2,11
2016-02-12,Gifts:June,Flowers,Flowers,-28.5,2016,2,12
2016-02-12,Restaurant,Roma Mediterranean,Roma Mediterranean,-50.85,2016,2,12
2016-02-12,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,53.52,2016,2,12
2016-02-12,Food:Take Away,Take Away,Take Away,-13.5,2016,2,12
2016-02-12,Gifts:June,John Lewis,John Lewis,-22.0,2016,2,12
2016-02-12,Travel:Bus,Bus,Bus,-3.0,2016,2,12
2016-02-12,Transfer (Outward),Transfer to PayPal,Transfer to PayPal,-53.52,2016,2,12
2016-02-13,Sports & Recreation:Football,Queens Park V East Stirlingshire,Queens Park V East Stirlingshire,-23.2,2016,2,13
2016-02-13,Transfer (Outward),Transfer to Cash,Transfer to Cash,-100.0,2016,2,13
2016-02-13,Gifts:Liam,Charger,Charger,-9.0,2016,2,13
2016-02-13,Car,Parking,Parking,-4.5,2016,2,13
2016-02-13,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,100.0,2016,2,13
2016-02-14,Food:Lunch,Kfc,Kfc,-14.95,2016,2,14
2016-02-15,Travel:Fuel,Sainsburys Petrol,Sainsburys Petrol,-36.99,2016,2,15
2016-02-15,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,4.99,2016,2,15
2016-02-15,Mobile:Mobile Phone Bills,Vodafone,Vodafone,-26.65,2016,2,15
2016-02-15,Transfer (Outward),Transfer to PayPal,Transfer to PayPal,-4.99,2016,2,15
2016-02-18,Shopping,Shopping Asda,Shopping Asda,-45.0,2016,2,18
2016-02-18,Insurance,Credit Expert,Credit Expert,-14.99,2016,2,18
2016-02-19,Food:Take Away,Take Away,Take Away,-4.0,2016,2,19
2016-02-19,Insurance:Life Insurance,L&G,L&G,-16.84,2016,2,19
2016-02-19,June Monthly Allowance,June Rod Tickets,June Rod Tickets,-400.0,2016,2,19
2016-02-19,Income,Salary,Salary,3124.36,2016,2,19
2016-02-20,Food:Take Away,Take Away,Take Away,-15.0,2016,2,20
2016-02-22,Food:Take Away,Take Away,Take Away,-28.2,2016,2,22
2016-02-22,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,50.0,2016,2,22
2016-02-22,Transfer (Outward),Transfer to Cash,Transfer to Cash,-50.0,2016,2,22
2016-02-23,Transfer (Outward),Transfer to Nationwide,Transfer to Nationwide,-2500.0,2016,2,23
2016-02-23,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,50.0,2016,2,23
2016-02-23,Travel:Fuel,Sainsbury Petrol,Sainsbury Petrol,-39.85,2016,2,23
2016-02-23,Transfer (Outward),Transfer to Cash,Transfer to Cash,-50.0,2016,2,23
2016-02-23,Transfer (Inward),Transfer from BoS Current Account,Transfer from BoS Current Account,2500.0,2016,2,23
2016-02-26,Food:Take Away,Chippy,Chippy,-10.95,2016,2,26
2016-02-27,Shopping,Shopping,Shopping,-20.41,2016,2,27
2016-02-27,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,50.0,2016,2,27
2016-02-27,Transfer (Outward),Transfer to Cash,Transfer to Cash,-50.0,2016,2,27
2016-02-28,Transfer (Inward),Transfer from BoS Current Account,Transfer from BoS Current Account,200.0,2016,2,28
2016-02-28,Transfer (Outward),Transfer to Smile Current Account,Transfer to Smile Current Account,-200.0,2016,2,28
2016-02-28,Food:Take Away,Take Away,Take Away,-13.5,2016,2,28
2016-02-29,Transfer (Outward),Transfer to Cash,Transfer to Cash,-50.0,2016,2,29
2016-02-29,Food:Lunch,Lunch,Lunch,-10.0,2016,2,29
2016-02-29,Bank:Bank Charges,Bank Interest,Bank Interest,1.66,2016,2,29
2016-02-29,Shopping,Shopping,Shopping,-120.0,2016,2,29
2016-02-29,Mobile:Mobile Phone Bills,EE,EE,-40.68,2016,2,29
2016-02-29,Gifts:Samantha,Samantha,Samantha,-20.0,2016,2,29
2016-02-29,Bank:Bank Charges,Nationwide Subscription,Nationwide Subscription,-10.0,2016,2,29
2016-02-29,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,50.0,2016,2,29
2016-02-29,Shopping,Shopping,Shopping,-15.0,2016,2,29
2016-02-29,Travel:Fuel,Sainsburys Petrol,Sainsburys Petrol,-31.61,2016,2,29
2016-03-01,Transfer (Outward),Transfer to RBS Credit Card,Transfer to RBS Credit Card,-5.0,2016,3,1
2016-03-01,Bank:Bank Charges,Bank Interest,Bank Interest,0.55,2016,3,1
2016-03-01,Car:Car Loan,RCI,RCI,-285.55,2016,3,1
2016-03-01,Household:Maintenance,Scottish Gas,Scottish Gas,-18.56,2016,3,1
2016-03-01,Household:Mortgage,Mortgage Express,Mortgage Express,-813.76,2016,3,1
2016-03-01,Household:TV,TV Licence,TV Licence,-12.12,2016,3,1
2016-03-01,Gifts:June,Crusader,Crusader,-39.95,2016,3,1
2016-03-01,Transfer (Inward),Transfer from Smile Current Account,Transfer from Smile Current Account,5.0,2016,3,1
2016-03-01,Gifts:Liam,Spotify,Spotify,-9.99,2016,3,1
2016-03-02,Food:Lunch,Lunch,Lunch,-8.8,2016,3,2
2016-03-03,Transfer (Outward),Transfer to PayPal,Transfer to PayPal,-39.95,2016,3,3
2016-03-03,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,39.95,2016,3,3
2016-03-03,Transfer (Outward),Transfer to PayPal,Transfer to PayPal,-9.99,2016,3,3
2016-03-03,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,9.99,2016,3,3
2016-03-03,Household:Phone &  Broadband,BT,BT,-79.12,2016,3,3
2016-03-04,Bank:Interest,Credit Card Interest,Credit Card Interest,-2.79,2016,3,4
2016-03-04,Shopping,Shopping,Shopping,-16.0,2016,3,4
2016-03-04,Gifts:Liam,Liam,Liam,-20.0,2016,3,4
2016-03-05,Shopping,Shopping Asda,Shopping Asda,-18.66,2016,3,5
2016-03-07,Food:Take Away,Take Away,Take Away,-26.0,2016,3,7
2016-03-07,Household:Gas & Electricity,Extra Energy,Extra Energy,-37.0,2016,3,7
2016-03-07,Travel:Fuel,Sainsbury Petrol,Sainsbury Petrol,-43.43,2016,3,7
2016-03-07,Sports & Recreation:Betting,McBookie.com,McBookie.com,-50.0,2016,3,7
2016-03-08,Vacation,Expedia Holiday Las Vegas,Expedia Holiday Las Vegas,534.32,2016,3,8
2016-03-09,Shopping,Shopping,Shopping,-51.0,2016,3,9
2016-03-09,Transfer (Outward),Transfer to Cash,Transfer to Cash,-50.0,2016,3,9
2016-03-09,Others,PayPal,PayPal,-99.0,2016,3,9
2016-03-09,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,50.0,2016,3,9
2016-03-09,Household:Gas & Electricity,British Gas,British Gas,-32.15,2016,3,9
2016-03-11,Food:Take Away,Take Away,Take Away,-20.5,2016,3,11
2016-03-11,Investment,ADVFN,ADVFN,-8.06,2016,3,11
2016-03-12,Shopping,Shopping Asda,Shopping Asda,-1.45,2016,3,12
2016-03-12,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,50.0,2016,3,12
2016-03-12,Transfer (Outward),Transfer to Cash,Transfer to Cash,-50.0,2016,3,12
2016-03-14,Travel:Bus,Bus,Bus,-3.0,2016,3,14
2016-03-14,Travel:Fuel,Sainsburys Petrol,Sainsburys Petrol,-40.35,2016,3,14
2016-03-14,Food:Lunch,Lunch At Work,Lunch At Work,-2.25,2016,3,14
2016-03-14,Food:Take Away,Take Away,Take Away,-19.5,2016,3,14
2016-03-14,Food:Lunch,Lunch,Lunch,-18.33,2016,3,14
2016-03-15,Mobile:Mobile Phone Bills,Vodafone,Vodafone,-26.5,2016,3,15
2016-03-16,Food:Lunch,Lunch At Work,Lunch At Work,-3.0,2016,3,16
2016-03-16,Transfer (Outward),Transfer to Cash,Transfer to Cash,-50.0,2016,3,16
2016-03-16,Food:Take Away,Take Away,Take Away,-10.8,2016,3,16
2016-03-16,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,50.0,2016,3,16
2016-03-16,Travel:Bus,Bus,Bus,-3.0,2016,3,16
2016-03-17,Travel:Bus,Bus,Bus,-3.0,2016,3,17
2016-03-17,Food:Lunch,Lunch At Work,Lunch At Work,-6.15,2016,3,17
2016-03-18,Transfer (Inward),Transfer from BoS Current Account,Transfer from BoS Current Account,600.0,2016,3,18
2016-03-18,Food:Lunch,Lunch 4.6,Lunch 4.6,-3.6,2016,3,18
2016-03-18,Insurance,Credit Expert,Credit Expert,-14.99,2016,3,18
2016-03-18,Shopping,Shopping,Shopping,-25.0,2016,3,18
2016-03-18,June Monthly Allowance,June,June,-300.0,2016,3,18
2016-03-18,Others,Hair  Cut,Hair  Cut,-5.0,2016,3,18
2016-03-18,Transfer (Outward),Transfer to Nationwide,Transfer to Nationwide,-600.0,2016,3,18
2016-03-18,Car,Car Wash,Car Wash,-5.0,2016,3,18
2016-03-19,Travel:Fuel,Sainsbury Petrol,Sainsbury Petrol,-39.2,2016,3,19
2016-03-19,Food,Restaurants,Restaurants,-10.0,2016,3,19
2016-03-19,Transfer (Outward),Transfer to Cash,Transfer to Cash,-250.0,2016,3,19
2016-03-19,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,250.0,2016,3,19
2016-03-20,Vacation:Holiday Spending,Expedia Tenerife,Expedia Tenerife,-200.0,2016,3,20
2016-03-20,Income,Salary,Salary,4284.76,2016,3,20
2016-03-20,Food:Take Away,Take Away,Take Away,-17.3,2016,3,20
2016-03-20,Gifts:Samantha,Samantha,Samantha,-200.0,2016,3,20
2016-03-21,Transfer (Outward),Transfer to Smile Current Account,Transfer to Smile Current Account,-200.0,2016,3,21
2016-03-21,Insurance:Life Insurance,L&G,L&G,-16.84,2016,3,21
2016-03-21,Transfer (Inward),Transfer from Smile Current Account,Transfer from Smile Current Account,90.0,2016,3,21
2016-03-21,Household:Maintenance,Newton Property,Newton Property,-251.18,2016,3,21
2016-03-21,Transfer (Outward),Transfer to Sainsburys Credit Card,Transfer to Sainsburys Credit Card,-90.0,2016,3,21
2016-03-21,Transfer (Inward),Transfer from BoS Current Account,Transfer from BoS Current Account,200.0,2016,3,21
2016-03-22,Food:Take Away,Take Away,Take Away,-17.45,2016,3,22
2016-03-22,Shopping,Shopping,Shopping,-10.0,2016,3,22
2016-03-22,Shopping,Shopping Asda,Shopping Asda,-11.31,2016,3,22
2016-03-22,Shopping,Amazon,Amazon,-79.0,2016,3,22
2016-03-23,Shopping,Shopping Asda,Shopping Asda,-14.76,2016,3,23
2016-03-23,Gifts:Liam,Go Henry,Go Henry,-20.5,2016,3,23
2016-03-24,Shopping,Shopping Asda,Shopping Asda,-4.0,2016,3,24
2016-03-24,Shopping,Sainsbury Shopping,Sainsbury Shopping,-25.0,2016,3,24
2016-03-25,Travel:Fuel,Sainsbury Petrol,Sainsbury Petrol,-42.11,2016,3,25
2016-03-25,Food:Lunch,Lunch,Lunch,-7.1,2016,3,25
2016-03-25,Gifts:June,Flowers,Flowers,-33.5,2016,3,25
2016-03-25,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,50.0,2016,3,25
2016-03-25,Shopping,Shipping Asda,Shipping Asda,-21.75,2016,3,25
2016-03-25,Transfer (Outward),Transfer to Cash,Transfer to Cash,-50.0,2016,3,25
2016-03-26,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,50.0,2016,3,26
2016-03-26,Transfer (Outward),Transfer to Cash,Transfer to Cash,-50.0,2016,3,26
2016-03-28,Computer,Kasperski,Kasperski,-44.99,2016,3,28
2016-03-28,Gifts:Liam,Go Henry,Go Henry,-12.47,2016,3,28
2016-03-28,Gifts:Liam,Helmet For Liam,Helmet For Liam,-20.0,2016,3,28
2016-03-29,Transfer (Inward),Transfer from BoS Current Account,Transfer from BoS Current Account,150.0,2016,3,29
2016-03-29,Food:Lunch,Lunch,Lunch,-5.0,2016,3,29
2016-03-29,Mobile:Mobile Phone Bills,EE,EE,-44.74,2016,3,29
2016-03-29,Transfer (Outward),Transfer to Smile Current Account,Transfer to Smile Current Account,-150.0,2016,3,29
2016-03-30,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,300.0,2016,3,30
2016-03-30,Travel:Bus,Bus,Bus,-3.0,2016,3,30
2016-03-30,Gifts:Mum & Dad,Dunelm,Dunelm,-35.96,2016,3,30
2016-03-30,Transfer (Outward),Transfer to Nationwide,Transfer to Nationwide,-3000.0,2016,3,30
2016-03-30,Food:Lunch,Lunch At Work,Lunch At Work,-5.15,2016,3,30
2016-03-30,Transfer (Outward),Transfer to Savings Nationwide,Transfer to Savings Nationwide,-300.0,2016,3,30
2016-03-30,Gifts:Mum & Dad,Freezer,Freezer,-49.99,2016,3,30
2016-03-30,Transfer (Inward),Transfer from BoS Current Account,Transfer from BoS Current Account,3000.0,2016,3,30
2016-03-30,Gifts:Mum & Dad,B&M,B&M,-12.42,2016,3,30
2016-03-31,Shopping,Shopping,Shopping,-65.0,2016,3,31
2016-03-31,Gifts:Mum & Dad,Hospital TV,Hospital TV,-20.0,2016,3,31
2016-03-31,Gifts:Liam,Spotify,Spotify,-9.99,2016,3,31
2016-03-31,Bank:Bank Charges,Bank Interest,Bank Interest,1.92,2016,3,31
2016-03-31,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,44.99,2016,3,31
2016-03-31,Transfer (Outward),Transfer to PayPal,Transfer to PayPal,-44.99,2016,3,31
2016-03-31,Bank:Bank Charges,Nationwide Subscription,Nationwide Subscription,-10.0,2016,3,31
2016-04-01,Bank:Bank Charges,Bank Charges,Bank Charges,-10.0,2016,4,1
2016-04-01,Household:Maintenance,Scottish Gas,Scottish Gas,-18.54,2016,4,1
2016-04-01,Gifts:Liam,Go Henry,Go Henry,-40.0,2016,4,1
2016-04-01,Bank:Bank Charges,Bank Interest,Bank Interest,2.59,2016,4,1
2016-04-01,Household:TV,TV Licence,TV Licence,-12.12,2016,4,1
2016-04-01,Household:Mortgage,Mortgage Express,Mortgage Express,-813.76,2016,4,1
2016-04-01,Car:Car Loan,RCI,RCI,-285.55,2016,4,1
